name_list
สมายล์
ธรณ์
ภูไท
ภูษิตา
ษิตา
วิริยา
บัว
พีท
ภู
ฟิลลิ่ง
วรรณ
ทิวาวรรณ
ภูวเดช
ลลิตา
วาคิม
โรแกล
โอเนอร์
แอนนา
เอริ
วิซิอัส
โจเซ่
แจ็ค
แจ๊ค
กัส
เฟรย่า
เซเบิร์ก
คาเซอริโอ
ริวจิ
ซาเวียร์
เยอร์เซ็พ
เรย์จิ
ลุคเนอร์
โทวะ
โทกะ
เอจิ
ไทเลอร์
คริสโตเฟอร์
ร็อดนีย์
โรเมโร่
ไดมอนด์
โซนเนอร์
โอลิเวอร์
คิง_โอลิเวอร์
กราวด์เดอร์
เฮทัม
เซอเบอรัส
ไอร่า
สการ์เลตต์
แฮร์รี่
แดนรวี
ธรรศ
กุญชรี
แกรนด์
พีรพัฒน์
จันทร์ผา
รลิตา
พีระพัฒน์
ชนัญชิดา
อคิราห์
อธิษฐาน
วิศรุต
สลาลี
ดิษกร
อเล็กสัน
อเล็ก
แอนเดรีย
ฮัลลี
มิเชล
ฟาเอล
มอร์แกน
เรย์
ลาไมย
อิราโบโลส
สเกีย
อเซวิส
อิราโบโลส
โฟเทีย
ชูลา
เจโล
โคล่า
จิน
เอวา
เดอ
แซล
โบดัส
ซาล์
คูลุม
Culum
skia
fotia
Culum
Bodus
เดร็ก
ซูชี
มากุส
Magus
เดน
จอห์น
มาดาล์เยกิสซา
Madalyegiza
เลโกน่า
วีลา
เซเลน่า
Zelena
Gelo
เมนิเลี่ยน
เนียนทูวาวา
Niantuwawa
คาอิ
อาลิอานิน
Alianin
อาซามิยะ 
อาซาเมีย
โรซาวีตูเต
Rosavitute
ปาม
ไลท์สต็อก
Lightstok
ชินหนาน
ไฮเชาด์สเตอร์
Hyshoudster
โลเดอร์
พลาน
เมชอส์ลิทา
Mechoslita
มายูริ
Lerdemondor
เลอเดมอนดอร์
มอสโล
โชร์ดลี่บอล์
Chornlybol
อะงาวะ
โจชิโร่
ไอคาว่า
คุรุโอ
ไดอิจิ
ฟุรุกะ
นารุคาระ
โอโรชิ
นามิดะ
อารายะ
ไรกะ
ชิโนบิ
เรน
สึกุนะ
เบล
โจฮาน
คริสต์
เฟียร์
อเล็กซ์
ซิส
ลูเซีย
วอล์เกอร์
แฮงค์
อัลฟอนส์
อริซ
รูเพิร์ต
ฟรอยด์
ดีแลนด์
แซนเดอร์
เซอร์คาเซช
Serkazech
อัคทากอน
Agthakon
อากัล
Argaal
รอช
ดูเฟอร์
อากาเดียร์
ครัสโนยาสค์
อิสกาน
เร็กส์ทัส
อเล็น
เจอรี่
ฟราย
ดาวี
โคลโนลอค
อาลเมราส
เดนนิส
คาร์เรว
ลิลลี่
รินทราย
ละติน
เดนนิส
มอลลี่แฟน
เพอร์ตัน
รุจิระไพบูลย์
แพททรีเซีย
ติน
คริส
มาย่า
แพท
คริสโตเฟอร์
เมรีญา
โชติภิรมย์รักษ์
โมณารา
คิม
ดงยู
พอล
โดเซอร์
โดเซอร์
ดาร์ค
วัตสันต์
ซันบล็อค
อดัม
คูบี่
แบล็คสตาร์
เพนเซอร์
ฌอห์ณ
จอร์จ
ลอล่า
สมิธ
เรด
เรดดี้
โรว์
แลลี่
สมิท
วาลองติโน่
เอวา
ชาร์ล
น้ำผึ้ง
นฤมล
บอส
เจน
ลิน
แม็ค
ไพลิน
มิค
ลุงทิม
ภู
วิสุทธิ์
ตี้
อาคาริ
คาเรน
มิว
เอมี่
แองจี้
เมยู
ยุน
ไมโกะ
เอมิ
อิซาเบลล่า
เบลล่า
แอนนี่
ลูซิเฟอร์
เจมส์
เอล
